BPT87,3648,"['a person runs up', 'person is the', 0.23884377019126307, 1.594335087959687e-308]"
BPT87,3649,"['a person laughs as they walk down the stairs', 'person the the', 0.09022352215774179, 3.01131000863463e-309]"
BPT87,3650,"['the person laughs', 'person the the', 0.6666666666666666, 2.2250738585072626e-308]"
GL7E6,3651,"['person they take the medicine', 'person awakens in', 0.17113903967753066, 1.142391010069532e-308]"
GL7E6,3652,"['person takes some medicine', 'person is a a', 0.25, 2.2250738585072626e-308]"
GL7E6,3653,"['a person awakens in their living room sneezing', 'person awakens in', 0.18887560283756186, 0.18887560283756186]"
GL7E6,3654,"['person they open a bag', 'person is a', 0.3422780793550613, 1.142391010069532e-308]"
P4SB9,3655,"['person start eating some food from the stove', 'person the the', 0.12591706855837456, 4.20262166383659e-309]"
P4SB9,3656,"['person puts the broom up against a wall', 'person the the', 0.12591706855837456, 4.20262166383659e-309]"
P4SB9,3657,"['person puts the broom down', 'person the the', 0.3422780793550613, 1.142391010069532e-308]"
WC5QK,3658,"['person they sit in a chair', 'person is a', 0.24525296078096154, 8.18558927632837e-309]"
Y79PC,3659,"['person they undress', 'person the the', 0.3333333333333333, 2.2250738585072626e-308]"
Y79PC,3660,"['the person undressed out of their jacket', 'person the the', 0.17573142541048448, 5.86523101198632e-309]"
Y79PC,3661,"['person turn off the light', 'turns off the light', 0.5841005873035536, 0.5192005220476033]"
08LOY,3662,"['another person runs up the stairs', 'person is the a', 0.3032653298563167, 1.3495755153097447e-308]"
VRXQX,3663,"['a person is putting on clothes', 'person is dressing', 0.24525296078096154, 0.18393972058572117]"
VRXQX,3664,"['person drinking from a cup walking around', 'person a a a', 0.23618327637050734, 1.051050468137224e-308]"
C6N6Y,3665,"['person eating an apple', 'person is a', 0.23884377019126307, 1.594335087959687e-308]"
BO12I,3666,"['another person is closing a refrigerator', 'person is a', 0.36787944117144233, 0.18393972058572117]"
BO12I,3667,"['a second person closes the door to the refrigerator', 'person is a a', 0.14325239843009505, 6.374943338305425e-309]"
120YL,3668,"['person begins to eat the cookie', 'person a a', 0.12262648039048077, 8.18558927632837e-309]"
120YL,3669,"['the person opens the box', 'person is a', 0.17113903967753066, 1.142391010069532e-308]"
120YL,3670,"['person eats the cookie', 'person a a', 0.23884377019126307, 1.594335087959687e-308]"
120YL,3671,"['the person sits down in a chair', 'person a a', 0.17573142541048448, 5.86523101198632e-309]"
120YL,3672,"['person sitting at the table', 'person a a', 0.17113903967753066, 1.142391010069532e-308]"
120YL,3673,"['the person opens the box of cookies', 'person is a a', 0.11809163818525367, 1.051050468137224e-308]"
120YL,3674,"['person sits down in a chair at the table', 'person a a', 0.09022352215774179, 3.01131000863463e-309]"
120YL,3675,"['person takes the plate to the table to eat', 'person is a a', 0.07162619921504752, 6.374943338305425e-309]"
MK16R,3676,"['a person is smiling', 'person a a a', 0.5, 2.2250738585072626e-308]"
MK16R,3677,"['person putting groceries away', 'person a a a', 0.25, 2.2250738585072626e-308]"
H032R,3678,"['person throws a towel on the floor', 'person is a a', 0.23618327637050734, 1.051050468137224e-308]"
H032R,3679,"['person sitting down on a pillow in the bed', 'person the the the', 0.14325239843009505, 6.374943338305425e-309]"
LUQWY,3680,"['person they open the laptop', 'person a laptop laptop', 0.38940039153570244, 1.7328892633971685e-308]"
KV6V8,3681,"['person the girl closes her laptop', 'person is a a', 0.15163266492815836, 1.3495755153097447e-308]"
07TCM,3682,"['person starts putting on their shoes', 'person on their', 0.36787944117144233, 0.18393972058572117]"
07TCM,3683,"['person putting shoes', 'person on their', 0.3333333333333333, 2.2250738585072626e-308]"
07TCM,3684,"['person dressing for the cold', 'person awakens in', 0.17113903967753066, 1.142391010069532e-308]"
07TCM,3685,"['person starts sneezing', 'person on a', 0.3333333333333333, 2.2250738585072626e-308]"
07TCM,3686,"['person putting shoes on', 'person on their', 0.47768754038252614, 1.594335087959687e-308]"
RFH6M,3687,"['person puts a towel over the shoulder', 'person is a a', 0.23618327637050734, 1.051050468137224e-308]"
RFH6M,3688,"['a person opens the refrigerator', 'person is a a', 0.38940039153570244, 1.7328892633971685e-308]"
RFH6M,3689,"['person closes the door', 'person is a a', 0.25, 2.2250738585072626e-308]"
RFH6M,3690,"['the person opens the <UNK> food', 'person is a a', 0.15163266492815836, 1.3495755153097447e-308]"
7IPW7,3691,"['a person walks through the doorway', 'drinking a a a', 0.15163266492815836, 1.3495755153097447e-308]"
7IPW7,3692,"['person walks through the doorway into a room', 'drinking a a a', 0.09196986029286058, 8.18558927632837e-309]"
H0Q6V,3693,"['person set up on the sofa take off shoes', 'person on shoes shoes', 0.21487859764514256, 6.374943338305425e-309]"
H0Q6V,3694,"['person takes their shoes off', 'person awakens in', 0.17113903967753066, 1.142391010069532e-308]"
CUHT0,3695,"['person takes a picture of the couch with a camera', 'person the the', 0.06464797857627003, 2.15769790703094e-309]"
CUHT0,3696,"['a person walks into the living holding a pillow', 'person is a a', 0.21487859764514256, 6.374943338305425e-309]"
CUHT0,3697,"['person they put the camera on the <UNK> <UNK>', 'person the the', 0.1353352832366127, 3.01131000863463e-309]"
FJYZH,3698,"['person eat something they took out of their pocket', 'person the the', 0.045111761078870896, 3.01131000863463e-309]"
FJYZH,3699,"['person eat a small snack they got from their pocket', 'person the the', 0.03232398928813501, 2.15769790703094e-309]"
FJYZH,3700,"['person put the book down on a chair', 'person the the', 0.12591706855837456, 4.20262166383659e-309]"
FJYZH,3701,"['person standing near a closet holding a homework book', 'person a a', 0.1353352832366127, 3.01131000863463e-309]"
FJYZH,3702,"['person they put the book down on a chair', 'person the the', 0.09022352215774179, 3.01131000863463e-309]"
M18XP,3703,"['a person opens a door', 'person opens a', 0.513417119032592, 0.513417119032592]"
M18XP,3704,"['person they close the door', 'person the the', 0.3422780793550613, 1.142391010069532e-308]"
ZC59Y,3705,"['a person is opening a book', 'person is book', 0.36787944117144233, 0.18393972058572117]"
FSOFF,3706,"['another person walks by the takes off their shoes', 'person the the', 0.09022352215774179, 3.01131000863463e-309]"
FSOFF,3707,"['person proceeds to take their shoes off', 'person the the', 0.08786571270524224, 5.86523101198632e-309]"
4KK20,3708,"['person throwing a box down', 'person takes a', 0.3422780793550613, 1.142391010069532e-308]"
4KK20,3709,"['person talking on their phone', 'person the the', 0.17113903967753066, 1.142391010069532e-308]"
4KK20,3710,"['person opening a box', 'person is a', 0.47768754038252614, 1.594335087959687e-308]"
4KK20,3711,"['person throwing the box to the floor angrily', 'person a a', 0.06295853427918728, 4.20262166383659e-309]"
