0,3MSZA,R5,R5,person turn a light on.
1,3MSZA,R7,R5,person flipped the light switch near the door.
2,3MSZA,R5,R5,person turn the light switch on.
3,3MSZA,R7,R7,person is playing with the switch for the light.
4,AMT7R,R5,R7,a person is putting a picture onto the wall.
5,YVKIV,R5,R5,the person puts down the bag.
6,VXJS4,R7,R7,a person walks through the doorway.
7,VXJS4,R7,R7,a person opens the door.
8,GBD1Y,R5,R5,person closes the door.
9,GBD1Y,R5,R5,person closing the door.
10,KVXJ9,R7,R7,person runs up the stairs.
11,KVXJ9,R7,R7,a person watches another run up some stairs.
12,E6DLK,Else,Else,person runs to the window to look out.
13,E6DLK,R7,R7,a person sits in a chair.
14,E6DLK,R5,R5,person runs to the window.
15,E6DLK,R3,R3,person runs to the door.
16,E6DLK,R7,R7,a person sits on a chair.
17,E6DLK,R7,R7,the person sits in the chair momentarily.
18,AKO6M,R7,R7,a person stands in the bathroom holding a glass.
19,AKO6M,R5,R5,the person takes a bag from the bottom cabinet.
20,F7TG5,R7,R7,person sits in a chair.
21,F7TG5,R7,R3,person sits down on a chair.
22,F7TG5,R3,R5,person throwing a blanket onto the vacuum.
23,F7TG5,R7,Else,person they throw their clothes on to a nearby desk.
24,KOVTR,R7,R7,person they stand up.
25,KOVTR,R7,R7,a person awakens in their sofa.
26,KOVTR,R5,R5,person takes some medicine.
27,FPJ9D,R7,R5,person sit on a chair.
28,5NV2Z,R7,R5,person takes a cup off a desk.
29,5NV2Z,R5,R5,person opens the front door.
30,5NV2Z,R5,R7,the person opens a door leading outside.
31,5NV2Z,R7,R3,a person takes a cup from a table.
32,Y1HGC,R5,R5,a person walks in a doorway drinking some coffee.
33,Y1HGC,R7,R7,person drinking a glass of water.
34,9JZO2,Else,R7,person put on their shoes.
35,9JZO2,R5,R5,person holding a glass cup.
36,9JZO2,R7,R7,a person eats some food.
37,9JZO2,R7,R7,a person is in a entryway eating a sandwich.
38,9JZO2,R7,R5,person holding a glass of water.
39,9JZO2,R3,R5,the person puts the cup down.
40,9JZO2,R5,Else,person stands in doorway holding a glass.
41,9JZO2,R7,R7,person eating a sandwich.
42,9JZO2,Else,Else,person puts on some shoes.
43,9JZO2,Else,R3,person holding a cup in the doorway.
44,9JZO2,R5,Else,the person walks into the house puts down the food.
45,9JZO2,R3,R5,person start smiling as the dress.
46,4J1AP,R7,R7,person drinking a glass of water.
47,4J1AP,R3,R3,lastly the person takes a drink from a cup.
48,V1WN7,R7,R7,person sitting on bed.
49,V1WN7,R7,R7,a person is dressing.
50,V1WN7,R5,R7,person sitting on their bed.
51,BL7OF,R7,R5,a person throws a pair of shoes under the window.
52,BL7OF,R5,R5,the person throws shoes under the window.
53,5C4EK,R5,R7,a person reads a book.
54,S591U,Else,Else,person sitting on top of bed closes laptop.
55,DLFPX,R7,R5,a person is standing on their stairs holding a bag.
56,9HG4Z,R3,Else,a person is closing a door.
57,I7AS7,R7,R7,a person runs through a doorway.
58,I7AS7,R7,R7,a person runs into the dining room.
59,I7AS7,R3,R5,the person opens the bag.
60,J48N6,Else,Else,the same person was laughing as he was undressing.
61,J48N6,R5,R5,person begins to undress.
62,J48N6,R5,R3,the person was putting the bag into the cabinet.
63,JVLAZ,R5,R5,person laying on the bed sneezing.
64,JVLAZ,R5,R5,person is lying on bed sneezing.
65,JVLAZ,R7,R7,person drinks water from a cup.
66,2RFLZ,R3,R5,a person picks up their phone talks on it.
67,2RFLZ,Else,Else,person takes a phone off a desk.
68,N3U9S,R7,R7,person opens a cabinet door twice.
69,J9T5D,R7,R7,person start laughing.
70,1CYLM,R7,R5,a person sits down on a couch.
71,1CYLM,R7,R7,the person is drinking something from a cup.
72,V2GC9,R5,R5,person putting groceries away.
73,V2GC9,Else,Else,person opening a pantry door.
74,V2GC9,R7,R3,a person walks through the house holding a bag.
75,V2GC9,R7,R7,person put groceries away.
76,LGJAR,R7,R7,person turns on the light.
77,ZHRPD,Else,Else,the person puts the towel onto the shelf.
78,ZHRPD,R5,R7,the person takes a phone.
79,43CCM,R7,R7,person undressing by the shelf beside the doorway.
80,43CCM,R7,R7,a person opens a door.
81,YZ8HK,R3,Else,the person closes the laptop.
82,2P7A9,R5,R3,person take a picture from the top of a cabinet.
83,2P7A9,R5,R3,person sit down in a chair at a desk.
84,2P7A9,Else,Else,person looking at the picture for a second.
85,2P7A9,Else,Else,the person puts a picture on their desk.
86,2P7A9,Else,Else,person they put down the broom.
87,2P7A9,Else,Else,person put the picture on the desk.
88,1ZWPP,Else,Else,a person is smiling in the mirror of their bathroom.
89,1ZWPP,R7,R7,person opens the door.
90,1ZWPP,R7,R7,person they open the door.
91,QUXYH,Else,Else,person laughs in the kitchen.
92,QUXYH,R7,R3,person seems to be laughing into the blanket.
93,QUXYH,R7,R7,person eats one.
94,QUXYH,R3,R7,person takes some food.
95,QUXYH,R7,R7,a person snuggles with a blanket.
96,QUXYH,R7,R7,person eats it.
97,V3SOF,Else,Else,person opened up the refrigerator.
98,SY5QP,R5,R7,a person is standing in the room holding a sandwich.
99,SY5QP,R7,R7,the person puts the sandwich down.
100,AOK1L,Else,Else,person drinking from a cup.
101,AOK1L,Else,Else,person drinking from a glass.
102,NBSPH,Else,R3,person sits on the table.
103,NBSPH,R5,R7,person takes a towel from a container.
104,NBSPH,R7,R3,person takes out a towel.
105,HY4FS,R3,R3,person the open the cabinet.
106,HY4FS,R5,R5,a person walks into a bathroom holding dishes.
107,YSE1G,R7,R7,person closed the door.
108,XMYXI,Else,Else,a person sits in a chair.
109,XMYXI,R3,R3,person he begins to laugh at something.
110,XMYXI,Else,Else,a man is sitting at a chair.
