0,3MSZA,R5,R5,person turn a light on.,,turn,['light']
1,3MSZA,R5,R5,person flipped the light switch near the door.,,flip,['light']
2,3MSZA,R5,R5,person turn the light switch on.,,turn,['light']
3,3MSZA,R5,R7,person is playing with the switch for the light.,,play,['switch']
4,AMT7R,R5,R7,a person is putting a picture onto the wall.,,put,['pictur']
5,YVKIV,R5,R5,the person puts down the bag.,,put,['bag']
6,VXJS4,R5,R7,a person walks through the doorway.,,walk,['doorway']
7,VXJS4,R7,R7,a person opens the door.,,open,['door']
8,GBD1Y,R5,R5,person closes the door.,verb forms,close,['door']
9,GBD1Y,R5,R5,person closing the door.,,close,['door']
10,KVXJ9,R7,R7,person runs up the stairs.,,run,['stair']
11,KVXJ9,R7,R7,a person watches another run up some stairs.,,watch_run,['stair']
12,E6DLK,Else,Else,person runs to the window to look out.,,run_look,['window']
13,E6DLK,R5,R7,a person sits in a chair.,,sit,['chair']
14,E6DLK,R5,R5,person runs to the window.,object changes,run,['window']
15,E6DLK,R3,R3,person runs to the door.,,run,['door']
16,E6DLK,R5,R7,a person sits on a chair.,,sit,['chair']
17,E6DLK,R7,R7,the person sits in the chair momentarily.,,sit,['chair']
18,AKO6M,R3,R7,a person stands in the bathroom holding a glass.,multiple actions ,stand_hold,"['bathroom', 'glass']"
19,AKO6M,Else,R5,the person takes a bag from the bottom cabinet.,,take,['bag']
20,F7TG5,R5,R7,person sits in a chair.,verb forms,sit,['chair']
21,F7TG5,R7,R3,person sits down on a chair.,,sit,['chair']
22,F7TG5,R5,R5,person throwing a blanket onto the vacuum.,,throw,['blanket']
23,F7TG5,R3,Else,person they throw their clothes on to a nearby desk.,,throw,['cloth']
24,KOVTR,R3,R7,person they stand up.,,stand,[None]
25,KOVTR,R7,R7,a person awakens in their sofa.,,awaken,['sofa']
26,KOVTR,R5,R5,person takes some medicine.,,take,['medicin']
27,FPJ9D,R7,R5,person sit on a chair.,,sit,['chair']
28,5NV2Z,R5,R5,person takes a cup off a desk.,,take,['cup']
29,5NV2Z,R3,R5,person opens the front door.,,open,['door']
30,5NV2Z,R7,R7,the person opens a door leading outside.,,open_lead,['door']
31,5NV2Z,R7,R3,a person takes a cup from a table.,,take,['cup']
32,Y1HGC,R5,R5,a person walks in a doorway drinking some coffee.,,walk_drink,"['doorway', 'coffe']"
33,Y1HGC,R7,R7,person drinking a glass of water.,,drink,['glass']
34,9JZO2,R7,R7,person put on their shoes.,,put,['shoe']
35,9JZO2,R7,R5,person holding a glass cup.,,hold,['glass']
36,9JZO2,R5,R7,a person eats some food.,,eat,['food']
37,9JZO2,R7,R7,a person is in a entryway eating a sandwich.,multiple actions ,eat,"['entryway', 'sandwich']"
38,9JZO2,R7,R5,person holding a glass of water.,,hold,['glass']
39,9JZO2,R7,R5,the person puts the cup down.,,put,['cup']
40,9JZO2,Else,Else,person stands in doorway holding a glass.,multiple actions ,stand_hold,"['doorway', 'glass']"
41,9JZO2,R7,R7,person eating a sandwich.,,eat,['sandwich']
42,9JZO2,R3,Else,person puts on some shoes.,,put,['shoe']
43,9JZO2,Else,R3,person holding a cup in the doorway.,,hold,['cup']
44,9JZO2,R7,Else,the person walks into the house puts down the food.,multiple actions ,walk_put,"['hous', 'food']"
45,9JZO2,Else,R5,person start smiling as the dress.,,smile,['dress']
46,4J1AP,R7,R7,person drinking a glass of water.,,drink,['glass']
47,4J1AP,R5,R3,lastly the person takes a drink from a cup.,,take,['drink']
48,V1WN7,R7,R7,person sitting on bed.,,sit,['bed']
49,V1WN7,R5,R7,a person is dressing.,,dress,[None]
50,V1WN7,R7,R7,person sitting on their bed.,,sit,['bed']
51,BL7OF,R3,R5,a person throws a pair of shoes under the window.,,throw,['pair']
52,BL7OF,Else,R5,the person throws shoes under the window.,,throw,['shoe']
53,5C4EK,R7,R7,a person reads a book.,,read,['book']
54,S591U,Else,Else,person sitting on top of bed closes laptop.,multiple actions ,sit_close,"['top', 'laptop']"
55,DLFPX,R7,R5,a person is standing on their stairs holding a bag.,,stand_hold,"['stair', 'bag']"
56,9HG4Z,Else,Else,a person is closing a door.,,close,['door']
57,I7AS7,R7,R7,a person runs through a doorway.,,run,['doorway']
58,I7AS7,R7,R7,a person runs into the dining room.,,run,['dine']
59,I7AS7,Else,R5,the person opens the bag.,,open,['bag']
60,J48N6,Else,Else,the same person was laughing as he was undressing.,multiple actions ,laugh,[None]
61,J48N6,Else,R5,person begins to undress.,,begin_undress,[None]
62,J48N6,Else,R3,the person was putting the bag into the cabinet.,,put,['bag']
63,JVLAZ,R5,R5,person laying on the bed sneezing.,,lay_sneez,['bed']
64,JVLAZ,R3,R5,person is lying on bed sneezing.,,lie_sneez,['bed']
65,JVLAZ,R7,R7,person drinks water from a cup.,,drink,['water']
66,2RFLZ,R5,R5,a person picks up their phone talks on it.,multiple actions ,pick,"['phone', 'talk']"
67,2RFLZ,Else,Else,person takes a phone off a desk.,,take,['phone']
68,N3U9S,R7,R7,person opens a cabinet door twice.,,open,['cabinet']
69,J9T5D,R3,R7,person start laughing.,,laugh,[None]
70,1CYLM,R7,R5,a person sits down on a couch.,,sit,['couch']
71,1CYLM,R7,R7,the person is drinking something from a cup.,,drink,['someth']
72,V2GC9,Else,R5,person putting groceries away.,,put,['groceri']
73,V2GC9,Else,Else,person opening a pantry door.,,open,['pantri']
74,V2GC9,R5,R3,a person walks through the house holding a bag.,,walk_hold,"['hous', 'bag']"
75,V2GC9,R5,R7,person put groceries away.,,put,['groceri']
76,LGJAR,R7,R7,person turns on the light.,,turn,['light']
77,ZHRPD,Else,Else,the person puts the towel onto the shelf.,,put,['towel']
78,ZHRPD,Else,R7,the person takes a phone.,,take,['phone']
79,43CCM,Else,R7,person undressing by the shelf beside the doorway.,,undress,['shelf']
80,43CCM,R7,R7,a person opens a door.,,open,['door']
81,YZ8HK,R3,Else,the person closes the laptop.,,close,['laptop']
82,2P7A9,R5,R3,person take a picture from the top of a cabinet.,,take,['pictur']
83,2P7A9,Else,R3,person sit down in a chair at a desk.,,sit,['chair']
84,2P7A9,R3,Else,person looking at the picture for a second.,,look,['pictur']
85,2P7A9,Else,Else,the person puts a picture on their desk.,,put,['pictur']
86,2P7A9,Else,Else,person they put down the broom.,,put,['broom']
87,2P7A9,Else,Else,person put the picture on the desk.,,put,['pictur']
88,1ZWPP,R3,Else,a person is smiling in the mirror of their bathroom.,linking verb ,smile,['mirror']
89,1ZWPP,R7,R7,person opens the door.,,open,['door']
90,1ZWPP,R7,R7,person they open the door.,,open,['door']
91,QUXYH,Else,Else,person laughs in the kitchen.,,laugh,['kitchen']
92,QUXYH,R7,R3,person seems to be laughing into the blanket.,linking verb ,laugh,['blanket']
93,QUXYH,R7,R7,person eats one.,,eat,[None]
94,QUXYH,R5,R7,person takes some food.,,take,['food']
95,QUXYH,R7,R7,a person snuggles with a blanket.,,snuggl,['blanket']
96,QUXYH,R7,R7,person eats it.,,eat,[None]
97,V3SOF,Else,Else,person opened up the refrigerator.,,open,['refriger']
